stock_code,stock_name,buy_date,sell_date,buy_price,sell_price,profit_pct,hold_days,exit_reason,retrace_date,surge_date,support_level,buy_year
000783,000783_data,2019-02-26 00:00:00,2019-03-04 00:00:00,7.79,7.1668,-8.349999999999998,6,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,6.28,2019
603400,603400_data,2025-08-07 00:00:00,2025-08-12 00:00:00,61.28,62.56,1.7387728459530045,5,移动止盈,2025-08-06 00:00:00,2025-08-05 00:00:00,54.95,2025
605268,605268_data,2021-04-07 00:00:00,2021-04-12 00:00:00,16.06,16.5508,2.7060398505603995,5,移动止盈,2021-04-06 00:00:00,2021-04-02 00:00:00,14.9,2021
002182,002182_data,2019-02-26 00:00:00,2019-03-25 00:00:00,7.83,8.804400000000001,12.094444444444457,27,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,6.96,2019
600804,600804_data,2019-02-13 00:00:00,2019-02-21 00:00:00,8.36,8.786000000000001,4.74569377990433,8,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,7.83,2019
600495,600495_data,2019-02-27 00:00:00,2019-03-04 00:00:00,5.38,5.2256,-3.219888475836429,5,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,4.8,2019
002051,002051_data,2019-03-19 00:00:00,2019-03-26 00:00:00,15.98,15.0144,-6.3925531914893625,7,移动止盈,2019-03-18 00:00:00,2019-03-15 00:00:00,13.86,2019
601686,601686_data,2021-01-18 00:00:00,2021-02-05 00:00:00,12.52,12.309600000000001,-2.0305111821086115,18,移动止盈,2021-01-15 00:00:00,2021-01-14 00:00:00,11.69,2021
603688,603688_data,2019-02-13 00:00:00,2019-03-11 00:00:00,13.93,14.784400000000002,5.783524766690609,26,移动止盈,2019-02-12 00:00:00,2019-02-11 00:00:00,13.08,2019
600203,600203_data,2019-02-20 00:00:00,2019-02-25 00:00:00,5.24,5.3912,2.535496183206111,5,移动止盈,2019-02-19 00:00:00,2019-02-18 00:00:00,4.9,2019
600531,600531_data,2019-02-25 00:00:00,2019-03-07 00:00:00,4.67,5.9064000000000005,26.125374732334063,10,移动止盈,2019-02-22 00:00:00,2019-02-21 00:00:00,4.05,2019
000936,000936_data,2019-02-26 00:00:00,2019-03-05 00:00:00,7.88,8.3352,5.426649746192899,7,移动止盈,2019-02-25 00:00:00,2019-02-22 00:00:00,6.75,2019
002939,002939_data,2019-02-15 00:00:00,2019-02-22 00:00:00,10.56,11.454,8.115909090909092,7,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,10.11,2019
002167,002167_data,2019-03-06 00:00:00,2019-03-11 00:00:00,7.73,7.728000000000001,-0.37587322121603856,5,移动止盈,2019-03-05 00:00:00,2019-03-04 00:00:00,6.73,2019
002987,002987_data,2020-07-01 00:00:00,2020-07-07 00:00:00,59.01,63.10280000000001,6.585773597695324,6,移动止盈,2020-06-30 00:00:00,2020-06-29 00:00:00,53.43,2020
603609,603609_data,2019-03-05 00:00:00,2019-03-11 00:00:00,11.4,11.2792,-1.4096491228070254,6,移动止盈,2019-03-04 00:00:00,2019-03-01 00:00:00,10.32,2019
600109,600109_data,2019-02-15 00:00:00,2019-02-22 00:00:00,8.56,8.832,2.827570093457947,7,移动止盈,2019-02-14 00:00:00,2019-02-13 00:00:00,8.05,2019
600555,600555_data,2019-02-27 00:00:00,2019-03-08 00:00:00,3.1,3.2292,3.8177419354838698,9,移动止盈,2019-02-26 00:00:00,2019-02-25 00:00:00,2.92,2019
603032,603032_data,2019-03-04 00:00:00,2019-03-11 00:00:00,33.33,42.6788,27.699204920492065,7,移动止盈,2019-03-01 00:00:00,2019-02-28 00:00:00,26.81,2019
