date,open,high,low,close,volume,amount,turn,ma20
2023-06-05,3860.5557,3860.5557,3832.4578,3844.2492,11616398900,211144360143.7000,0.396457,3910.86439
2023-06-06,3840.4587,3867.8452,3802.8449,3808.1629,12578125800,222091722592.2000,0.429275,3899.878765
2023-06-07,3815.4823,3823.1124,3780.1021,3789.3418,9886243200,189879792179.6000,0.337428,3889.5023799999994
2023-06-08,3791.0826,3834.3888,3777.7752,3820.1867,11870093400,199119300649.7000,0.404853,3880.9785300000003
2023-06-09,3822.4088,3836.7026,3811.2189,3836.7026,13431986300,247296087070.9000,0.458079,3875.925550000001
2023-06-12,3827.3253,3859.7156,3813.8577,3844.4324,12675854300,240791270473.5000,0.421684,3868.2028099999998
2023-06-13,3838.1287,3867.3034,3833.4598,3864.9074,11092494600,225435215314.9000,0.369010,3862.5379100000005
2023-06-14,3872.7155,3891.6656,3862.0609,3864.0247,12495575900,243932581183.9000,0.415686,3857.7308949999997
2023-06-15,3871.7746,3925.4994,3871.7746,3925.4994,12836993800,282635910894.2000,0.426773,3856.20236
2023-06-16,3932.2114,3968.0128,3928.5419,3963.3509,13976007600,280374762837.8000,0.464356,3857.1428900000005
2023-06-19,3957.0327,3957.0327,3922.4742,3930.9079,13490584800,268213068579.8000,0.447863,3855.2218999999996
2023-06-20,3926.0940,3937.4945,3918.4730,3924.2377,12252031800,266274081286.8000,0.406639,3855.774375
2023-06-21,3909.1044,3920.1276,3864.0323,3864.0323,11834657500,243630705591.5000,0.392613,3856.0213150000004
2023-06-26,3833.4436,3841.2862,3801.0537,3809.6962,13399041900,247713845779.5000,0.444056,3853.9811449999993
2023-06-27,3811.6872,3851.8957,3806.3242,3845.4334,11699268100,210097713687.6000,0.387610,3853.70526
2023-06-28,3836.6086,3846.8516,3808.1607,3840.7986,10702154100,206187959876.8000,0.354575,3854.0481099999997
2023-06-29,3836.7305,3840.7132,3817.3759,3821.8435,9828927400,204110031407.8000,0.325642,3853.25263
2023-06-30,3816.3345,3860.0311,3813.5520,3842.4516,10126842900,208146272909.0000,0.335512,3855.44804
2023-07-03,3853.2919,3897.3273,3853.2919,3892.8821,13315805100,256876520211.7000,0.438266,3859.74875
2023-07-04,3888.0328,3899.9755,3878.3978,3899.0133,10949452700,216335611421.8000,0.360279,3861.6077299999997
