code,name,trigger_date,buy_date,sell_date,profit_pct,hold_days,exit_reason
002796,002796_data,2019-02-14 00:00:00,2019-02-15,2019-02-21 00:00:00,4.533031301482692,6,移动止盈
600759,600759_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,4.494155844155843,9,移动止盈
603803,603803_data,2019-02-12 00:00:00,2019-02-13,2019-02-27 00:00:00,4.458007279344854,14,移动止盈
600581,600581_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,4.195454545454549,9,移动止盈
002611,002611_data,2019-02-26 00:00:00,2019-02-27,2019-03-06 00:00:00,4.070000000000001,7,移动止盈
002491,002491_data,2019-02-12 00:00:00,2019-02-13,2019-02-22 00:00:00,4.042694063926943,9,移动止盈
002579,002579_data,2019-02-12 00:00:00,2019-02-13,2019-02-19 00:00:00,3.964960629921256,6,移动止盈
000811,000811_data,2019-02-26 00:00:00,2019-02-27,2019-03-11 00:00:00,3.786807817589584,12,移动止盈
002721,002721_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,3.732278481012658,9,移动止盈
600058,600058_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,3.727220077220085,9,移动止盈
002116,002116_data,2019-02-20 00:00:00,2019-02-21,2019-02-26 00:00:00,3.7155737704918015,5,移动止盈
600707,600707_data,2019-03-04 00:00:00,2019-03-05,2019-03-11 00:00:00,3.400778816199378,6,移动止盈
002669,002669_data,2019-02-14 00:00:00,2019-02-15,2019-02-26 00:00:00,3.3325396825396854,11,移动止盈
000812,000812_data,2019-02-19 00:00:00,2019-02-20,2019-02-25 00:00:00,3.318292682926837,5,移动止盈
603790,603790_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,3.3137010676156535,8,移动止盈
002926,002926_data,2019-02-14 00:00:00,2019-02-15,2019-02-22 00:00:00,3.21284153005465,7,移动止盈
000987,000987_data,2019-02-19 00:00:00,2019-02-20,2019-02-25 00:00:00,3.209709241952218,5,移动止盈
000837,000837_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,3.17400835073069,9,移动止盈
002642,002642_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,2.9434131736527047,6,移动止盈
601020,601020_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,2.871601489757915,9,移动止盈
600109,600109_data,2019-02-14 00:00:00,2019-02-15,2019-02-22 00:00:00,2.827570093457947,7,移动止盈
002660,002660_data,2019-03-04 00:00:00,2019-03-05,2019-03-11 00:00:00,2.8131799163179902,6,移动止盈
002153,002153_data,2019-02-12 00:00:00,2019-02-13,2019-02-27 00:00:00,2.6399643897701535,14,移动止盈
000807,000807_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,2.6261388286334055,6,移动止盈
600203,600203_data,2019-02-19 00:00:00,2019-02-20,2019-02-25 00:00:00,2.535496183206111,5,移动止盈
600119,600119_data,2019-02-19 00:00:00,2019-02-20,2019-02-25 00:00:00,2.456800618238042,5,移动止盈
000792,000792_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,2.186312849162017,9,移动止盈
002342,002342_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,2.164285714285714,6,移动止盈
600169,600169_data,2019-02-26 00:00:00,2019-02-27,2019-03-07 00:00:00,2.1115384615384576,8,移动止盈
002189,002189_data,2019-02-11 00:00:00,2019-02-12,2019-02-22 00:00:00,1.9540000000000068,10,移动止盈
600310,600310_data,2019-02-11 00:00:00,2019-02-12,2019-02-22 00:00:00,1.8975247524752639,10,移动止盈
603500,603500_data,2019-02-19 00:00:00,2019-02-20,2019-03-08 00:00:00,1.847044334975368,16,移动止盈
603912,603912_data,2019-02-13 00:00:00,2019-02-14,2019-02-20 00:00:00,1.7860985093972732,6,移动止盈
603616,603616_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,1.7849274124679761,9,移动止盈
002239,002239_data,2019-02-26 00:00:00,2019-02-27,2019-03-05 00:00:00,1.5071428571428642,6,移动止盈
002276,002276_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,1.3059766763848384,9,移动止盈
002756,002756_data,2019-02-15 00:00:00,2019-02-16,2019-02-26 00:00:00,1.2729180546302394,8,移动止盈
002103,002103_data,2019-02-19 00:00:00,2019-02-20,2019-02-27 00:00:00,1.2211252653927969,7,移动止盈
002493,002493_data,2019-04-02 00:00:00,2019-04-03,2019-04-09 00:00:00,1.1626536514822916,6,移动止盈
000963,000963_data,2019-02-11 00:00:00,2019-02-12,2019-02-20 00:00:00,1.1322475008617707,8,移动止盈
002023,002023_data,2019-02-19 00:00:00,2019-02-20,2019-03-01 00:00:00,1.1193877551020524,9,移动止盈
000957,000957_data,2019-02-13 00:00:00,2019-02-14,2019-02-20 00:00:00,1.0625412541254182,6,移动止盈
600478,600478_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,0.9410891089108897,9,移动止盈
600985,600985_data,2019-02-25 00:00:00,2019-02-26,2019-03-08 00:00:00,0.7785591026747257,10,移动止盈
600698,600698_data,2019-02-26 00:00:00,2019-02-27,2019-03-06 00:00:00,0.37992700729927603,7,移动止盈
002277,002277_data,2019-02-26 00:00:00,2019-02-27,2019-03-27 00:00:00,0.3558823529411782,28,移动止盈
002457,002457_data,2019-02-26 00:00:00,2019-02-27,2019-03-08 00:00:00,0.20328798185940988,9,移动止盈
